id,collection_id,product_id,position,created_at,updated_at
4,1,1,3,,
5,1,2,1,,
6,1,3,2,,
8,3,5,1,,
9,1,11,1,,
10,1,8,1,,
11,1,6,1,,
12,1,17,1,,
13,1,9,1,,
14,1,13,1,,
15,1,12,1,,
16,1,14,1,,
17,1,16,1,,
18,1,10,1,,
19,1,7,1,,
20,1,15,1,,
21,1,5,1,,
38,1,18,1,,
39,1,20,1,,
41,1,21,1,,
42,1,22,1,,
43,1,23,1,,
44,1,24,1,,
48,1,25,1,,
50,1,26,1,,
51,1,27,1,,
53,1,28,1,,
54,1,29,1,,
57,1,30,1,,
59,1,31,1,,
62,3,32,1,,
65,3,33,1,,
67,3,34,1,,
69,3,36,1,,
71,3,37,1,,
72,3,39,1,,
75,3,43,1,,
76,3,41,1,,
78,3,10,1,,
79,3,45,1,,
80,3,46,1,,
81,3,40,1,,
82,3,47,1,,
83,3,48,1,,
84,3,21,1,,
85,3,49,1,,
119,3,60,1,,
121,3,62,1,,
122,6,79,10,,
123,6,29,21,,
124,6,7,20,,
125,6,46,23,,
126,6,16,19,,
127,6,2,4,,
128,6,73,18,,
129,6,71,17,,
130,6,76,16,,
131,6,74,15,,
132,6,72,14,,
133,6,75,13,,
134,6,70,12,,
135,6,77,5,,
136,6,67,6,,
137,6,65,11,,
138,6,69,9,,
139,6,68,2,,
140,6,66,3,,
141,6,64,1,,
142,6,10,24,,
143,6,45,8,,
144,6,78,7,,
145,6,18,26,,
146,6,41,25,,
147,6,42,22,,
148,6,81,1,,
149,6,80,1,,
245,3,57,1,,
246,3,58,1,,
247,3,56,1,,
248,3,35,1,,
249,7,137,1,,
250,7,138,1,,
251,7,139,1,,
252,7,140,1,,
253,7,141,1,,
254,7,142,1,,
258,7,146,1,,
259,7,147,1,,
260,7,148,1,,
261,7,149,1,,
262,7,150,1,,
263,7,151,1,,
264,7,152,1,,
265,7,153,1,,
266,7,154,1,,
267,7,155,1,,
268,7,156,1,,
272,7,183,1,,
273,7,184,1,,
274,8,32,1,,
275,8,33,1,,
276,8,36,1,,
277,8,39,1,,
278,8,45,1,,
279,8,49,1,,
280,8,62,1,,
281,8,80,1,,
282,8,160,1,,
283,8,161,1,,
284,8,162,1,,
285,8,163,1,,
286,8,164,1,,
287,8,165,1,,
288,8,166,1,,
289,8,167,1,,
290,8,168,1,,
291,8,169,1,,
292,8,170,1,,
293,8,171,1,,
294,8,172,1,,
295,8,173,1,,
296,8,174,1,,
297,8,175,1,,
304,8,182,1,,
305,8,185,1,,
306,8,186,1,,
307,8,187,1,,
308,8,188,1,,
309,8,189,1,,
310,7,32,1,,
311,7,33,1,,
312,7,36,1,,
313,7,39,1,,
314,7,45,1,,
315,7,47,1,,
316,7,49,1,,
317,7,78,1,,
318,7,80,1,,
319,9,190,1,,
320,9,191,1,,
321,7,145,1,,
322,7,144,1,,
323,7,143,1,,
324,7,158,1,,
325,7,157,1,,
326,7,159,1,,
327,8,179,1,,
328,8,181,1,,
329,8,180,1,,
330,8,177,1,,
331,8,176,1,,
332,8,178,1,,
