id,upc,name,slug,description,is_promotion,is_visible,created_at,updated_at,drophub,attributes
1,6567a397ba709,کت,Coat,"جنس :فاستونی
رنگبندی: مشکی/طوسی
سایز۱(عرض سینه۶۲/قد۷۵/عرض شانه۴۶)
سایز۲(عرض سینه۶۵/قد۸۰/عرض شانه۵۲)

برای راهنمای اندازه ها به قسمت راهنمای محصول مراجعه کنید.",0,0,2023-11-11 20:28:09,2025-10-23 12:52:09,,
2,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
3,,شلوار تک پیله راه راه,Pantss,"جنس:فاستونی
رنگبندی:تک رنگ
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶ الی۱۰۵)
دور ران ۶۸
قد۱10(قدکار تن مدل اقا ۱۰۵ برای سفارش این قد فقط از طریق دایرکت اقدام کنید🙏🏽)",0,0,2024-02-23 15:59:50,2025-10-23 12:52:14,,
5,,کراپ کت,Croppp,"جنس:فاستونی
رنگبندی:مشکی راه راه
فری سایز(عرض سینه۶۱/قد بدون تیزی جلوی کار ۵۲)

",0,1,2024-03-01 12:26:42,2024-04-07 22:56:04,,
6,,پیراهن حصیری,Hasiriii,"
رنگبندی:سفید/مشکی/قهوه ای/کرم
فری سایز(عرض سینه63/قد78)",0,1,2024-03-02 12:12:25,2025-10-23 12:52:25,,
7,,شلوار کمر کش,Tro,"جنس:سوپر مازراتی
رنگبندی:کرم/مشکی
فری سایز(دورکمر67الی110)
دور ران 68
قد106",0,1,2024-03-02 12:34:40,2025-03-03 15:43:33,,
8,,پیراهن تک جیب,Ttttaaakkk,"جنس:لینن
رنگبندی:مشکی/سفید
سایز۱(عرض سینه۶۲/قد۷۵)
سایز۲(عرض سینه۶۴/قد۸۰)",0,0,2024-03-02 12:46:44,2025-09-08 19:50:09,,
9,,پیراهن راه راه آبی,Abbiiiirah,"جنس:لینن
رنگبندی:آبی
فری سایز(عرض سینه ۶۳/قد۷۸)",0,0,2024-03-02 13:12:12,2025-09-08 19:51:07,,
10,,شلوار کارگو,Cargoooo,"جنس:کتان
رنگبندی:مشکی/سبز/قهوه ای/سرمه ای",0,1,2024-03-02 13:16:12,2025-09-10 19:40:41,,
11,,پیراهن بیسیک,basiccc,"جنس:بابوس
رنگبندی:سفید و مشکی
فری سایز(عرض سینه۶۳/قد۷۸)
",0,1,2024-03-03 12:29:18,2024-09-07 18:48:03,,
12,,تیشرت بیسیک,TT-shirt,"جنس: پنبه دونخ
رنگبندی:سفید/مشکی/سبز/آبی
فری سایز(عرض سینه ۶۳/قد۷۸)",0,1,2024-03-03 13:36:01,2025-03-14 15:34:55,,
13,,پیراهن یقه انگلیسی,IP-englisi,"جنس:بابوس
رنگبندی:مشکی/سفید
سایز۱(عرض سینه ۶۲/قد۷۵)
سایز۲(عرض سینه ۶۵/قد۸۰)",0,1,2024-03-03 13:45:58,2024-09-07 19:00:50,,
