id,sku,product_id,description,size,color,price,discount,stock,is_visible,created_at,updated_at
7,,3,,100011,1,1480000,0,0,1,2024-02-26 16:28:09,2025-09-20 12:07:20
8,,1,,100010,1,3680000,0,0,0,2024-02-28 15:14:57,2025-10-26 07:26:39
9,,1,,100009,1,3680000,0,0,0,2024-02-28 15:15:30,2025-10-26 07:26:41
10,,1,,100010,94,2680000,0,0,0,2024-02-28 15:15:58,2025-09-20 12:07:20
11,,1,,100009,94,2680000,0,0,0,2024-02-28 15:16:21,2025-09-20 12:07:20
12,,2,,100010,1,2280000,0,0,1,2024-02-28 15:28:03,2025-10-26 07:26:48
13,,2,,100009,1,2280000,0,0,1,2024-02-28 15:28:37,2025-10-26 07:26:50
14,,2,,100010,94,2280000,0,0,1,2024-02-28 15:28:57,2025-10-26 07:26:52
15,,2,,100009,94,2280000,0,0,1,2024-02-28 15:29:16,2025-10-26 07:26:54
16,,3,,100011,1,1480000,0,0,1,2024-02-29 18:50:52,2025-09-20 12:07:20
17,,6,,100011,1,1180000,0,0,1,2024-03-02 12:17:21,2025-09-20 12:07:20
18,,6,,100011,2,1180000,0,20,1,2024-03-02 12:17:44,2025-09-20 12:07:20
19,,7,,100011,1,1980000,0,5,1,2024-03-02 12:42:37,2025-10-27 11:59:48
20,,7,,100011,6,1980000,0,0,0,2024-03-02 12:43:04,2025-09-20 12:07:20
21,,8,,100010,1,1180000,0,0,1,2024-03-02 13:07:35,2025-09-20 12:07:20
22,,8,,100009,1,1180000,0,0,1,2024-03-02 13:07:56,2025-09-20 12:07:20
23,,8,,100010,2,1180000,0,0,1,2024-03-02 13:08:17,2025-09-20 12:07:20
24,,8,,100009,2,1180000,0,0,1,2024-03-02 13:08:37,2025-09-20 12:07:20
25,,9,,100011,4,1100000,0,0,1,2024-03-02 13:14:25,2025-09-20 12:07:20
26,,11,,100010,1,1380000,0,0,0,2024-03-03 12:35:55,2025-09-20 12:07:20
27,,11,,100009,2,1380000,0,0,0,2024-03-03 12:36:15,2025-09-20 12:07:20
28,,12,,100010,1,1280000,0,2,1,2024-03-03 13:40:12,2025-09-20 12:07:20
29,,12,,100009,2,1280000,0,0,1,2024-03-03 13:40:30,2025-09-20 12:07:20
30,,12,,100011,4,1280000,0,0,1,2024-03-03 13:40:49,2025-09-20 12:07:20
31,,12,,100011,6,1280000,0,0,1,2024-03-03 13:42:20,2025-09-20 12:07:20
32,,13,,100010,1,1180000,0,0,0,2024-03-03 13:49:03,2025-09-20 12:07:20
33,,13,,100009,1,1180000,0,0,0,2024-03-03 13:49:23,2025-09-20 12:07:20
34,,13,,100010,2,1180000,0,0,0,2024-03-03 13:49:39,2025-09-20 12:07:20
35,,13,,100009,2,1180000,0,0,0,2024-03-03 13:50:00,2025-09-20 12:07:20
36,,14,,100010,1,1780000,0,0,0,2024-03-03 14:22:12,2025-09-20 12:07:20
37,,14,,100009,1,1780000,0,0,0,2024-03-03 14:22:33,2025-09-20 12:07:20
38,,14,,100010,2,1780000,0,4,0,2024-03-03 14:22:51,2025-09-20 12:07:20
39,,14,,100009,2,1780000,0,4,0,2024-03-03 14:23:10,2025-09-20 12:07:20
40,,15,,100010,1,2780000,0,25,1,2024-03-03 14:38:23,2025-09-20 12:07:20
41,,15,,100009,1,2780000,0,27,1,2024-03-03 14:38:43,2025-09-20 12:07:20
42,,15,,100010,6,2780000,0,10,1,2024-03-03 14:38:58,2025-09-20 12:07:20
43,,15,,100009,6,2780000,0,30,1,2024-03-03 14:39:21,2025-09-20 12:07:20
44,,16,,100010,1,1980000,0,48,1,2024-03-03 15:17:20,2025-09-20 12:07:20
45,,16,,100009,1,1980000,0,47,1,2024-03-03 15:17:38,2025-09-20 12:07:20
46,,16,,100010,27,1980000,0,44,1,2024-03-03 15:18:31,2025-09-20 12:07:20
47,,16,,100009,27,1980000,0,44,1,2024-03-03 15:18:52,2025-09-20 12:07:20
48,,17,,100011,2,930000,0,0,0,2024-03-03 15:55:39,2025-09-20 12:07:20
49,,5,,100011,1,2480000,0,5,1,2024-04-03 15:02:32,2025-09-20 12:07:20
50,,18,,100011,1,1980000,0,20,1,2024-04-03 15:09:32,2025-11-11 17:33:23
51,,18,,100011,27,1980000,0,30,1,2024-04-03 15:09:54,2025-11-11 17:33:38
52,,19,,100011,1,2000,0,0,0,2024-04-03 19:04:13,2025-09-20 12:07:20
53,,10,,100010,1,1980000,0,5,1,2024-04-03 20:04:58,2025-09-20 12:07:20
54,,10,,100009,1,1980000,0,5,1,2024-04-03 20:05:18,2025-09-20 12:07:20
55,,10,,100010,6,1980000,0,5,1,2024-04-03 20:05:41,2025-09-20 12:07:20
56,,10,,100009,6,1980000,0,5,1,2024-04-03 20:06:00,2025-09-20 12:07:20
57,,20,,100011,1,1580000,0,10,1,2024-04-04 20:26:19,2025-09-20 12:07:20
58,,21,,100011,1,1380000,0,0,1,2024-04-06 16:00:16,2025-09-20 12:07:20
61,,21,,100011,27,1380000,0,0,1,2024-04-17 22:41:02,2025-10-15 15:18:38
62,,22,,100011,1,1180000,0,0,0,2024-04-21 14:56:07,2025-09-20 12:07:20
63,,22,,100011,2,1180000,0,0,0,2024-04-21 14:56:25,2025-09-20 12:07:20
64,,23,,100011,4,1380000,0,0,0,2024-07-07 16:14:15,2025-09-20 12:07:20
65,,23,,100011,5,1380000,0,0,0,2024-07-07 16:15:00,2025-09-20 12:07:20
66,,24,,100010,27,1980000,0,0,0,2024-07-07 16:21:19,2025-09-20 12:07:20
67,,24,,100009,27,1980000,0,0,0,2024-07-07 16:21:34,2025-09-20 12:07:20
