id,cart_id,variant_id,quantity,created_at,updated_at,deleted_at
13,13,9,1,2024-04-03 16:39:32,2024-04-03 19:04:51,2024-04-03 19:04:51
14,13,13,1,2024-04-03 16:39:43,2024-04-03 19:02:56,2024-04-03 19:02:56
15,13,52,1,2024-04-03 19:04:49,2024-04-03 19:04:49,
16,14,8,1,2024-04-03 19:22:39,2025-06-27 20:34:14,2025-06-27 20:34:14
17,12,28,1,2024-04-03 19:50:17,2024-04-03 19:50:17,
18,16,48,1,2024-04-03 23:34:27,2024-04-03 23:34:27,
19,17,21,9,2024-04-04 01:12:10,2024-08-22 23:23:40,2024-08-22 23:23:40
20,18,50,1,2024-04-04 01:37:27,2024-04-04 01:37:27,
21,18,44,1,2024-04-04 02:15:16,2024-04-04 02:15:16,
22,20,13,1,2024-04-04 14:31:59,2024-04-04 14:31:59,
23,22,12,2,2024-04-04 14:53:54,2024-04-21 20:25:02,2024-04-21 20:25:02
24,23,36,2,2024-04-04 17:52:32,2024-04-04 17:52:38,
25,24,49,1,2024-04-04 22:36:30,2024-04-04 22:36:30,
26,26,7,1,2024-04-04 23:17:00,2024-04-04 23:17:00,
27,28,48,1,2024-04-05 00:44:32,2024-04-05 00:44:32,
28,29,50,2,2024-04-05 00:51:08,2024-04-05 00:51:16,
29,30,26,1,2024-04-05 06:31:27,2024-04-05 06:31:27,
30,30,28,1,2024-04-05 06:33:37,2024-04-05 06:33:37,
31,14,29,0,2024-04-05 15:21:12,2024-06-18 15:51:30,2024-06-18 15:51:30
32,14,33,0,2024-04-05 15:27:59,2025-09-26 09:04:31,2025-09-26 09:04:31
33,11,9,1,2024-04-05 18:10:27,2024-09-08 20:58:54,2024-09-08 20:58:54
34,11,29,0,2024-04-05 18:10:50,2024-09-08 20:58:50,2024-09-08 20:58:50
35,11,32,1,2024-04-05 18:11:27,2024-10-16 21:20:49,2024-10-16 21:20:49
36,32,58,1,2024-04-06 16:41:14,2024-04-06 16:41:14,
37,34,58,2,2024-04-06 16:49:01,2024-04-06 16:51:50,2024-04-06 16:51:50
38,34,58,1,2024-04-06 16:52:00,2024-04-06 16:52:00,
39,36,17,1,2024-04-07 02:29:07,2024-04-07 02:29:07,
40,37,25,1,2024-04-07 02:45:37,2024-04-07 02:45:37,
41,39,58,1,2024-04-07 16:02:10,2024-04-07 16:15:45,2024-04-07 16:15:45
42,39,45,1,2024-04-07 16:10:36,2024-04-07 16:15:46,2024-04-07 16:15:46
43,39,31,1,2024-04-07 16:11:32,2024-04-07 16:15:47,2024-04-07 16:15:47
44,39,35,1,2024-04-07 16:11:51,2024-04-07 16:15:48,2024-04-07 16:15:48
45,15,49,1,2024-04-07 22:21:44,2024-06-21 17:08:17,2024-06-21 17:08:17
46,15,16,1,2024-04-07 22:22:04,2024-06-21 17:08:25,2024-06-21 17:08:25
47,40,32,1,2024-04-07 22:32:23,2024-04-07 22:32:23,
48,42,27,1,2024-04-08 05:32:18,2024-04-08 05:32:18,
49,43,25,1,2024-04-08 14:11:05,2024-04-08 14:11:05,
50,44,58,1,2024-04-08 17:42:22,2024-04-08 17:42:22,
51,45,29,1,2024-04-08 17:44:42,2024-04-08 17:44:42,
52,45,50,1,2024-04-08 17:45:49,2024-04-08 17:45:49,
53,45,44,1,2024-04-08 17:46:12,2024-04-08 17:52:17,2024-04-08 17:52:17
54,45,45,1,2024-04-08 17:52:52,2024-04-08 17:52:52,
55,46,58,1,2024-04-08 17:57:24,2024-04-08 17:57:24,
56,17,24,10,2024-04-08 19:22:27,2024-04-08 19:22:57,2024-04-08 19:22:57
57,48,25,1,2024-04-08 23:00:32,2024-04-09 01:00:37,2024-04-09 01:00:37
58,48,32,1,2024-04-08 23:01:04,2024-04-08 23:01:40,2024-04-08 23:01:40
59,48,58,1,2024-04-08 23:01:31,2024-04-08 23:01:31,
60,31,58,1,2024-04-08 23:41:52,2024-04-08 23:41:52,
61,31,50,1,2024-04-08 23:42:55,2024-04-08 23:42:55,
62,50,26,1,2024-04-09 22:48:06,2024-04-09 22:48:06,
63,52,13,1,2024-04-10 19:22:29,2024-04-10 19:22:29,
64,54,17,1,2024-04-11 13:51:59,2024-04-11 13:51:59,
65,56,23,2,2024-04-11 14:32:42,2024-04-15 13:32:28,
66,57,28,1,2024-04-11 15:58:10,2024-04-11 15:58:10,
67,57,29,1,2024-04-11 15:58:13,2024-04-11 15:58:13,
68,60,44,1,2024-04-12 11:43:18,2024-10-17 21:17:59,2024-10-17 21:17:59
69,61,58,1,2024-04-12 22:35:42,2024-04-12 22:35:42,
70,62,21,1,2024-04-13 03:42:45,2024-04-13 03:43:09,2024-04-13 03:43:09
71,63,23,1,2024-04-15 13:37:14,2024-04-15 13:37:14,
72,65,51,3,2024-04-16 18:49:49,2024-04-19 00:34:57,2024-04-19 00:34:57
73,65,46,1,2024-04-16 18:50:18,2024-04-19 00:36:38,2024-04-19 00:36:38
74,66,50,1,2024-04-16 23:10:16,2024-04-16 23:10:16,
75,66,19,1,2024-04-16 23:11:54,2024-04-16 23:14:58,2024-04-16 23:14:58
76,66,21,1,2024-04-16 23:12:41,2024-04-16 23:19:37,2024-04-16 23:19:37
77,66,45,1,2024-04-16 23:19:29,2024-04-16 23:19:29,
78,67,10,1,2024-04-17 01:43:50,2024-04-17 01:43:50,
79,67,14,1,2024-04-17 01:43:59,2024-04-17 01:43:59,
80,69,58,1,2024-04-17 16:34:55,2024-04-17 16:34:55,
81,70,47,2,2024-04-17 17:45:31,2024-04-17 17:45:40,2024-04-17 17:45:40
82,70,47,1,2024-04-17 17:45:45,2024-06-18 20:40:41,2024-06-18 20:40:41
83,72,58,2,2024-04-18 20:26:56,2024-04-18 20:27:04,2024-04-18 20:27:04
84,72,58,1,2024-04-18 20:27:12,2024-04-18 20:27:12,
85,65,51,2,2024-04-19 00:35:06,2024-04-19 00:36:39,2024-04-19 00:36:39
86,65,31,1,2024-04-19 00:35:53,2024-04-19 00:36:04,2024-04-19 00:36:04
87,65,51,1,2024-04-19 00:36:52,2024-04-19 00:36:52,
88,65,46,1,2024-04-19 00:37:04,2024-04-19 00:37:04,
89,73,29,1,2024-04-19 13:56:05,2024-04-19 13:56:05,
90,72,27,1,2024-04-19 17:03:02,2024-04-19 17:03:40,2024-04-19 17:03:40
91,76,58,1,2024-04-20 01:56:15,2024-07-01 19:49:57,2024-07-01 19:49:57
92,76,27,1,2024-04-20 01:59:44,2024-04-20 01:59:59,2024-04-20 01:59:59
93,78,28,1,2024-04-21 06:25:31,2024-04-21 06:25:31,
94,22,12,3,2024-04-21 20:25:09,2025-03-14 01:05:06,2025-03-14 01:05:06
95,79,62,1,2024-04-22 02:14:41,2024-04-22 02:14:41,
96,81,40,1,2024-04-22 21:46:18,2024-04-22 21:46:18,
97,76,17,1,2024-04-23 00:39:15,2024-04-23 00:41:26,2024-04-23 00:41:26
98,76,27,2,2024-04-23 00:39:41,2024-07-04 04:35:32,2024-07-04 04:35:32
