id,migration,batch
1,2014_10_12_000000_create_users_table,1
2,2014_10_12_100000_create_password_reset_tokens_table,1
3,2018_08_08_100000_create_telescope_entries_table,1
4,2019_08_19_000000_create_failed_jobs_table,1
5,2019_12_14_000001_create_personal_access_tokens_table,1
6,2023_06_07_000001_create_pulse_tables,1
7,2023_11_11_133038_create_categories_table,1
8,2023_11_11_133138_create_products_table,1
9,2023_11_11_134748_create_variants_table,1
10,2023_11_11_165301_create_collections_table,1
11,2023_11_11_172243_create_collection_product_table,1
12,2023_11_11_182533_create_product_images_table,1
13,2023_11_18_134442_create_cms_table,1
14,2023_11_20_082914_create_category_product_table,1
15,2023_11_29_225933_add_sku_to_products_table,1
16,2023_11_29_225947_add_sku_to_variants_table,1
17,2023_12_01_170303_create_addresses_table,1
18,2023_12_01_170848_create_shipping_methods_table,1
19,2023_12_01_171021_create_carts_table,1
20,2023_12_01_171048_create_cart_items_table,1
21,2023_12_02_162139_add_otp_to_users_table,1
22,2023_12_03_181257_create_larapay_transaction_table,1
23,2023_12_03_192149_create_orders_table,1
24,2023_12_03_192153_create_order_items_table,1
25,2023_12_04_115313_create_payment_methods_table,1
26,2023_12_04_173525_add_payment_method_id_to_carts_table,1
27,2023_12_05_221307_add_payment_method_id_to_orders_table,1
28,2023_12_05_221727_add_total_price_to_orders_table,1
29,2023_12_06_202017_add_status_to_orders_table,1
30,2023_12_13_142622_create_guides_table,1
31,2023_12_13_143612_create_guide_product_table,1
32,2023_12_20_104749_create_coupons_table,2
33,2023_12_25_110232_add_position_to_collection_product_table,3
34,2024_02_26_093129_add_slug_to_collections_table,4
35,2024_04_02_165324_add_thumbnail_to_collections_table,5
36,2018_11_06_222923_create_transactions_table,6
37,2018_11_07_192923_create_transfers_table,6
38,2018_11_15_124230_create_wallets_table,6
39,2021_11_02_202021_update_wallets_uuid_table,6
40,2024_04_05_135429_add_wallet_to_orders_table,6
41,2024_05_14_133405_create_filament_comments_table,7
42,2024_05_14_133406_add_index_to_subject,7
43,2024_06_28_173709_create_notifications_table,8
44,2024_06_28_175131_create_jobs_table,8
45,2024_06_28_192332_add_sale_channel_to_orders_table,8
46,2024_08_20_131342_add_payment_token_to_orders_table,9
47,2024_08_20_140544_change_attributes_in_orders_table,9
48,2024_08_24_160148_add_snapp_check_and_transaction_id_to_orders_table,9
49,2025_02_19_220645_add_drophub_to_products_table,10
50,2025_04_13_121202_create_variant_attributes_table,11
51,2025_04_13_121214_create_variant_values_table,11
52,2025_09_10_122155_create_product_similars_table,12
53,2025_10_25_210452_add_attributes_to_products_table,13
