id,order_id,cart_id,variant_id,quantity,selled_price,base_price,discount,created_at,updated_at,deleted_at
7,5,13,9,1,2380000,2380000,0,2024-04-03 16:42:55,2024-04-03 16:42:55,
8,5,13,13,1,1260000,1260000,0,2024-04-03 16:42:55,2024-04-03 16:42:55,
9,6,13,9,1,2380000,2380000,0,2024-04-03 18:27:53,2024-04-03 18:27:53,
10,6,13,13,1,1260000,1260000,0,2024-04-03 18:27:53,2024-04-03 18:27:53,
11,7,13,9,1,2380000,2380000,0,2024-04-03 18:33:00,2024-04-03 18:33:00,
12,7,13,13,1,1260000,1260000,0,2024-04-03 18:33:00,2024-04-03 18:33:00,
13,8,13,9,1,2380000,2380000,0,2024-04-03 18:49:30,2024-04-03 18:49:30,
14,8,13,13,1,1260000,1260000,0,2024-04-03 18:49:30,2024-04-03 18:49:30,
15,9,13,9,1,2380000,2380000,0,2024-04-03 18:49:57,2024-04-03 18:49:57,
16,9,13,13,1,1260000,1260000,0,2024-04-03 18:49:57,2024-04-03 18:49:57,
17,10,13,9,1,2380000,2380000,0,2024-04-03 18:53:59,2024-04-03 18:53:59,
18,10,13,13,1,1260000,1260000,0,2024-04-03 18:53:59,2024-04-03 18:53:59,
19,11,13,9,1,2380000,2380000,0,2024-04-03 18:56:37,2024-04-03 18:56:37,
20,11,13,13,1,1260000,1260000,0,2024-04-03 18:56:37,2024-04-03 18:56:37,
21,12,13,9,1,2380000,2380000,0,2024-04-03 19:02:10,2024-04-03 19:02:10,
22,12,13,13,1,1260000,1260000,0,2024-04-03 19:02:10,2024-04-03 19:02:10,
23,13,13,52,1,2000,2000,0,2024-04-03 19:07:35,2024-04-03 19:07:35,
24,14,13,52,1,2000,2000,0,2024-04-03 19:17:32,2024-04-03 19:17:32,
25,15,14,8,1,2380000,2380000,0,2024-04-03 19:22:47,2024-04-03 19:22:47,
26,16,14,8,1,2380000,2380000,0,2024-04-03 19:23:10,2024-04-03 19:23:10,
27,17,14,8,1,2380000,2380000,0,2024-04-03 19:26:49,2024-04-03 19:26:49,
28,18,14,8,1,2380000,2380000,0,2024-04-03 19:28:41,2024-04-03 19:28:41,
29,19,14,8,1,2380000,2380000,0,2024-04-03 19:31:19,2024-04-03 19:31:19,
30,20,14,8,1,2380000,2380000,0,2024-04-03 19:35:45,2024-04-03 19:35:45,
31,21,12,28,1,790000,790000,0,2024-04-03 19:51:25,2024-04-03 19:51:25,
32,22,14,8,1,2380000,2380000,0,2024-04-03 20:12:52,2024-04-03 20:12:52,
33,23,16,48,1,930000,930000,0,2024-04-03 23:37:14,2024-04-03 23:37:14,
34,24,16,48,1,930000,930000,0,2024-04-03 23:37:33,2024-04-03 23:37:33,
35,25,20,13,1,1260000,1260000,0,2024-04-04 14:35:44,2024-04-04 14:35:44,
36,26,16,48,1,930000,930000,0,2024-04-04 18:10:27,2024-04-04 18:10:27,
37,27,16,48,1,930000,930000,0,2024-04-04 18:11:01,2024-04-04 18:11:01,
38,28,16,48,1,930000,930000,0,2024-04-04 18:35:57,2024-04-04 18:35:57,
