id,product_id,path,type,position,created_at,updated_at
14,1,/OKC3DObmdSQWd12MiIkNc9sj8d6Q3k-metaNkY0MUE1MTItRDREOC00RTI5LTkzN0ItRDJDRUNEQUQyNjhGLmpwZWc=-.jpg,image,3,2024-02-28 14:44:31,2024-04-26 22:59:51
16,1,/dN6KHDq9s2itqX80JEWLbosIYG8Cl7-metaMzA5RkU3ODMtQzE3My00ODJELUIxNDgtM0QyOUMyOUFFNzRGLmpwZWc=-.jpg,thumbnail,1,2024-02-28 14:46:24,2024-04-26 22:59:51
17,1,/Ocr8BwFyQvZQNneKkq0FgUrjhxYQiU-metaMEY5REEyQzMtRjYxOC00N0Q4LUI2NjgtNzI5QTgzRUE1QTA0LmpwZWc=-.jpg,image,4,2024-02-28 14:47:27,2024-04-26 22:59:51
18,1,/Rx34sd0Qm2DFhtOv9A0LYGS7bhc7Ib-metaNzA1OTVCRjMtOTlGMS00REI0LTk2OUYtRkNDNDc2NkI4NDNGLmpwZWc=-.jpg,image,2,2024-02-28 15:12:48,2024-04-26 22:59:51
19,2,/HuGBMr1kuE4V0ObEgH7IWDWtjNPmzD-metaNDFEQkQ0QjktOEI0QS00MkU5LUI4QjctNjFCQTNDQjUzN0M2LmpwZWc=-.jpg,image,1,2024-02-28 15:24:58,2025-03-02 13:31:11
20,2,/U8PAVCveTJ2vLnHkDhBUymOiZFgAa3-metaMTlGMUY5OEQtQjFFOS00ODBGLUE3Q0EtMTBCQ0JDNTMwNjFELmpwZWc=-.jpg,thumbnail,1,2024-02-28 15:25:54,2025-03-02 13:32:16
23,3,/G9SBF9lyyzloXloq1DQcUyMIzIGYyF-metaMERBQUZFQzQtRkI2Ni00MzU4LTg4QUMtODgwMTY5RTY1RTRDLmpwZWc=-.jpg,thumbnail,1,2024-02-29 18:40:54,2024-02-29 18:40:54
24,3,/pM87mjoq6zQY7xMOekLQpLSwKUxP8t-metaMkM0QjVGQzgtRTJCMi00NkEzLUJEN0MtQkY3QjExMzkwMUI0LmpwZWc=-.jpg,image,1,2024-02-29 18:42:10,2024-02-29 18:42:10
25,3,/ITzXMk0f9JKsw3zR09o7v54VxAFRVg-metaQUI2NjFBMjEtMDkzQi00MEEwLUI4MjYtN0VERTg4RDBCRkJDLmpwZWc=-.jpg,image,1,2024-02-29 18:47:06,2024-02-29 18:47:06
26,5,/9IGeOFpLuAyiEdpySPHxUoG0YFvquI-metaQjgzNkMyQkItQjRDMS00NDk1LUI1QjctMjkyREQ0ODgwM0QyLmpwZWc=-.jpg,image,1,2024-03-01 12:30:53,2024-03-01 12:30:53
27,5,/JmPRJzfYOvJO2WpugMsw1ruz1d70O8-metaQ0FFRDA0REYtNDczMy00NDYyLUI4M0QtRkFGOEQ0MkM1MUQwLmpwZWc=-.jpg,thumbnail,1,2024-03-01 12:31:55,2024-03-01 12:31:55
28,5,/CpMksIUhk6CxG7xEcBlJNjR1yWQSho-metaQzJERjlFMDgtNDA1OS00MEM1LUFGRkYtNEZFMDE5ODQ3REJELmpwZWc=-.jpg,image,1,2024-03-01 12:32:40,2024-03-01 12:32:40
29,5,/XDfQzb8WgX1bV82WdEbPDmCZBlf2s3-metaQkUzREM1NzktODk4Ri00QzY1LUJBNUItNTA4RjFCNzBBQzk4LmpwZWc=-.jpg,image,1,2024-03-01 12:34:24,2024-03-01 12:34:24
30,6,/DURQpXrM6hWXV6m7LnjtoldKywBuRW-metaRTMxQUE5RDktNUM5RC00Q0YwLUE2NzgtNTkxRkI0QTQxNTVELmpwZWc=-.jpg,thumbnail,1,2024-03-02 12:13:21,2024-03-02 12:13:21
31,6,/2DzALNxHWULPVGYmrhbGPUW5LdZV7P-metaNzZCMDA3N0UtNzEzOC00QTVBLUFBRjQtMkJBRjBFMjkwRUI4LmpwZWc=-.jpg,image,1,2024-03-02 12:13:53,2024-03-02 12:13:53
32,6,/HpsbdhqqrgqmB1mCHNpb42Tvru5JSe-metaQzFCREYwODAtMTkwRi00QkQ5LTg2MTQtNENBM0EyRTQyQTI5LmpwZWc=-.jpg,image,1,2024-03-02 12:14:53,2024-03-02 12:14:53
35,7,/wXyY7zxWE5RaWnb8HGdgvefvrtmlQt-metaOTBENTJBOTMtRUEwRi00OTFFLUIxMTgtOTY2QTlBNDA2RjdELmpwZWc=-.jpg,image,1,2024-03-02 12:39:59,2024-03-02 12:39:59
36,7,/st5lB6sRi9Tv1O5TEuuk39r9aHEdTX-metaQTZGRDBGRDctODQ4Qy00RkRBLTk2RDMtNkY1NUNDRDJGOEI3LmpwZWc=-.jpg,image,1,2024-03-02 12:40:34,2024-03-02 12:40:34
38,8,/2cOvnYnsRKM6dBQlvbuBZNxOWVx9UF-metaMThBNjYyQjctMTk0Ni00QjFCLUFCRDktMzYzQ0M5RkI2NzY3LmpwZWc=-.jpg,image,1,2024-03-02 12:47:21,2024-03-02 12:47:21
39,8,/ORLSbFx05VTTmvbA6KMnKCKXo3gwrM-metaRTQ5RkUzMTctNjU2My00NzMyLTk4MTUtOTMyRjM3MzFEMTUxLmpwZWc=-.jpg,thumbnail,1,2024-03-02 12:47:38,2024-03-02 12:47:38
40,8,/s9RG5bUmLjPjpGTMOsJhx657Ry8QW3-metaQjU4RTEyMjEtRERGNy00NkM3LUFDNUQtNkZGNjEyQjQ2Qzk0LmpwZWc=-.jpg,image,1,2024-03-02 12:48:00,2024-03-02 12:48:00
41,9,/d6G3Ot9mcY6KoHEuQGfXJOcYJdojQ3-metaNDNBMTBBQTctOTRCQS00QjZCLTlBNkItNTEzNDZEQTA5OTdGLmpwZWc=-.jpg,thumbnail,1,2024-03-02 13:12:35,2024-03-02 13:12:35
42,9,/bHr7WyBj3GrO8ypTOPP1elWjYrp73Y-metaMUJGMDUyRTQtRUUzOS00RUIwLTk5QjktNzNDNDBGOTU2RUVCLmpwZWc=-.jpg,image,1,2024-03-02 13:12:50,2024-03-02 13:12:50
43,9,/fKZmK58sSkK6xwoQjdPtgWyh2MXxux-metaMTA3OUE5RDktMDUyRi00NzE3LUI2RUYtMzg2MUFGRDMwRUM1LmpwZWc=-.jpg,image,1,2024-03-02 13:13:16,2024-03-02 13:13:16
44,9,/63bPsE8lb71XMgKHRUvGuqDRwrtWzK-metaQkE3NDA4QUQtOUQxQi00NzM0LUE1M0ItNjI5MDJDRkU0NUQ3LmpwZWc=-.jpg,image,1,2024-03-02 13:13:42,2024-03-02 13:13:42
