id,variant_attribute_id,name,category,value
1,1,مشکی,مشکی,#212121
2,1,سفید,سفید,#FFFFFF
3,1,قرمز,قرمز,#f44336
4,1,آبی,آبی,#2196f3
5,1,زرد,زرد,#ffeb3b
6,1,سبز,سبز,#00e676
7,1,صورتی,صورتی,#FF80AB
8,1,بنفش,بنفش,#9C27B1
9,1,سرمه ای,آبی,#002171
11,1,خاکستری,طوسی,#9E9E9E
12,1,نقره ای,طوسی,#dedede
13,1,نوک مدادی,مشکی,#424242
14,1,قهوه ای,قهوه‌‌ای,#562e1f
15,1,طلایی,زرد,#c99212
16,1,زرشکی,قرمز,#6a1313
17,1,نارنجی,نارنجی,#ff5722
18,1,فیروزه ای,آبی,#4ddcd7
19,1,سبز فسفری,سبز,#5ac104
20,1,یشمی,سبز,#9e9d24
21,1,زیتونی,سبز,#84831c
22,1,پوست پیازی,قرمز,#c48a89
23,1,زرد خردلی,زرد,#d0a40a
24,1,یاسی,بنفش,#fce4ec
25,1,گل بهی,صورتی,#FF8A81
26,1,سبز آبی,آبی,#00fff0
27,1,کرم,سفید,#ffecca
28,1,نسکافه ای,قهوه‌‌ای,#a98274
29,1,سفید صدفی,سفید,#f3f3f3
30,1,بژ,زرد,#e6dab3
31,1,مسی,قرمز,#e65319
32,1,چند رنگ,بنفش,#C71585
34,1,نقره ای آبی,آبی,#c2d3da
35,1,بی رنگ,سفید,#FFFFFE
38,1,ماهگونی,قهوه‌‌ای,#3f1e1f
39,1,طوسی,طوسی,#e0e0e0
40,1,بنفش تیره,بنفش,#24002b
41,1,شکلاتی,مشکی,#3d2217
42,1,آبی تیره,آبی,#4c5e74
43,1,آبی روشن,آبی,#40aaff
44,1,سبز روشن,سبز,#4dff97
45,1,سبز تیره,سبز,#007e33
46,1,سرخابی,قرمز,#f50057
47,1,صورتی تیره,صورتی,#a41147
48,1,قهوه ای تیره,مشکی,#392622
49,1,قهوه ای روشن,قهوه‌‌ای,#7b584c
50,1,رز گلد,صورتی,#ff9e80
