,product_id,path,type,position,created_at_x,updated_at_x,upc,name,slug,description,is_promotion,is_visible,created_at_y,updated_at_y,drophub,attributes
0,1,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/dN6KHDq9s2itqX80JEWLbosIYG8Cl7-metaMzA5RkU3ODMtQzE3My00ODJELUIxNDgtM0QyOUMyOUFFNzRGLmpwZWc=-.jpg,thumbnail,1,2024-02-28 14:46:24,2024-04-26 22:59:51,6567a397ba709,کت,Coat,"جنس :فاستونی
رنگبندی: مشکی/طوسی
سایز۱(عرض سینه۶۲/قد۷۵/عرض شانه۴۶)
سایز۲(عرض سینه۶۵/قد۸۰/عرض شانه۵۲)

برای راهنمای اندازه ها به قسمت راهنمای محصول مراجعه کنید.",0,0,2023-11-11 20:28:09,2025-10-23 12:52:09,,
1,1,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K06D3VYB2RVJJPTTJP17EJQX.webp,image,1,2025-07-15 10:19:12,2025-07-15 10:19:12,6567a397ba709,کت,Coat,"جنس :فاستونی
رنگبندی: مشکی/طوسی
سایز۱(عرض سینه۶۲/قد۷۵/عرض شانه۴۶)
سایز۲(عرض سینه۶۵/قد۸۰/عرض شانه۵۲)

برای راهنمای اندازه ها به قسمت راهنمای محصول مراجعه کنید.",0,0,2023-11-11 20:28:09,2025-10-23 12:52:09,,
2,1,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/Rx34sd0Qm2DFhtOv9A0LYGS7bhc7Ib-metaNzA1OTVCRjMtOTlGMS00REI0LTk2OUYtRkNDNDc2NkI4NDNGLmpwZWc=-.jpg,image,2,2024-02-28 15:12:48,2024-04-26 22:59:51,6567a397ba709,کت,Coat,"جنس :فاستونی
رنگبندی: مشکی/طوسی
سایز۱(عرض سینه۶۲/قد۷۵/عرض شانه۴۶)
سایز۲(عرض سینه۶۵/قد۸۰/عرض شانه۵۲)

برای راهنمای اندازه ها به قسمت راهنمای محصول مراجعه کنید.",0,0,2023-11-11 20:28:09,2025-10-23 12:52:09,,
3,1,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/OKC3DObmdSQWd12MiIkNc9sj8d6Q3k-metaNkY0MUE1MTItRDREOC00RTI5LTkzN0ItRDJDRUNEQUQyNjhGLmpwZWc=-.jpg,image,3,2024-02-28 14:44:31,2024-04-26 22:59:51,6567a397ba709,کت,Coat,"جنس :فاستونی
رنگبندی: مشکی/طوسی
سایز۱(عرض سینه۶۲/قد۷۵/عرض شانه۴۶)
سایز۲(عرض سینه۶۵/قد۸۰/عرض شانه۵۲)

برای راهنمای اندازه ها به قسمت راهنمای محصول مراجعه کنید.",0,0,2023-11-11 20:28:09,2025-10-23 12:52:09,,
4,1,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/Ocr8BwFyQvZQNneKkq0FgUrjhxYQiU-metaMEY5REEyQzMtRjYxOC00N0Q4LUI2NjgtNzI5QTgzRUE1QTA0LmpwZWc=-.jpg,image,4,2024-02-28 14:47:27,2024-04-26 22:59:51,6567a397ba709,کت,Coat,"جنس :فاستونی
رنگبندی: مشکی/طوسی
سایز۱(عرض سینه۶۲/قد۷۵/عرض شانه۴۶)
سایز۲(عرض سینه۶۵/قد۸۰/عرض شانه۵۲)

برای راهنمای اندازه ها به قسمت راهنمای محصول مراجعه کنید.",0,0,2023-11-11 20:28:09,2025-10-23 12:52:09,,
5,2,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/HuGBMr1kuE4V0ObEgH7IWDWtjNPmzD-metaNDFEQkQ0QjktOEI0QS00MkU5LUI4QjctNjFCQTNDQjUzN0M2LmpwZWc=-.jpg,image,1,2024-02-28 15:24:58,2025-03-02 13:31:11,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
6,2,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/U8PAVCveTJ2vLnHkDhBUymOiZFgAa3-metaMTlGMUY5OEQtQjFFOS00ODBGLUE3Q0EtMTBCQ0JDNTMwNjFELmpwZWc=-.jpg,thumbnail,1,2024-02-28 15:25:54,2025-03-02 13:32:16,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
7,2,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01JNAS0AKG66S3M9NXKM7NCH2K.webp,image,1,2025-03-02 13:34:26,2025-03-02 13:34:26,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
8,2,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01JNAS117FYK7HW6MCFEK3HBPA.webp,image,1,2025-03-02 13:34:50,2025-03-02 13:34:50,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
9,2,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01JNAS1G2W5AD57FTX6DEKB4NB.webp,image,1,2025-03-02 13:35:05,2025-03-02 13:35:05,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
10,2,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01JNAYMCSTQA0DMYNYPSFRFNHN.webp,image,1,2025-03-02 15:12:47,2025-03-02 15:12:47,6567a397bacd3,شلوار تک پیله فاستونی,Ppnngff,"جنس:فاستونی
رنگبندی:طوسی/مشکی
سایز۱(دورکمر۶۸ الی۸۵)
سایز۲(دورکمر۸۶الی۱۰۵)
دور ران ۶۸
قد کار ۱۱۰

برای راهنمای انتخاب سایز به راهنمای‌محصول‌ مراجعه کنید",0,1,2023-11-11 20:45:35,2025-10-23 12:52:37,,
